G000242715	0.239473	0.00259	0.17337599132208317
G000373565	0.239158	0.01726	0.1818012777598652
G000819545	0.230824	0.14367	0.16425497890381302
G000719955	0.219561	0.37713	0.19001119392849486
G000827005	0.217743	0.39071	0.19060375267378815
G000802245	0.211884	0.40651	0.17100393422251128
G000720475	0.215009	0.41339	0.17896127775986526
G001418465	0.213365	0.42965	0.17340127775986522
G001419745	0.212156	0.43735	0.17166127775986523
G000204605	0.209353	0.44149	0.1608353697061213
G000716675	0.212754	0.44913	0.17086127775986523
G001418335	0.206073	0.46531	0.16141479507912804
G001654495	0.205377	0.46764	0.14951947689418174
G001418415	0.201543	0.46859	0.15333469365423824
G000718315	0.205547	0.47051	0.15166393422251126
G000497445	0.203213	0.48326	0.15395393422251122
G001509795	0.202067	0.48668	0.1459211106410576
G001298575	0.206033	0.48791	0.16244536970612128
G000721235	0.20271	0.49282	0.15106506114648305
G000725495	0.203912	0.49467	0.15308591202625807
G000444875	0.201508	0.49818	0.14000393422251126
G000156435	0.199067	0.49831	0.149836519434411
G001418475	0.20056	0.50011	0.1542660746826111
G001660045	0.201192	0.50108	0.15235506114648306
G000331005	0.203707	0.50216	0.1644053697061213
G001279985	0.202086	0.50244	0.15180739378893332
G000158935	0.200314	0.50296	0.15476506114648306
G001418585	0.201459	0.5048	0.15358542014848786
G000349325	0.199745	0.51097	0.1503288525704483
G000203835	0.199637	0.51258	0.15482506114648306
G001513975	0.197156	0.5156	0.147783634264231
G001005085	0.201539	0.52211	0.15287450373663192
G001418655	0.199784	0.52239	0.14613479507912805
G000091305	0.199213	0.52591	0.15386607468261115
G000376565	0.200344	0.52635	0.15815536970612126
G000158955	0.194247	0.528	0.1509059361561925
G000721105	0.197167	0.52929	0.1481576221799316
G001511815	0.198452	0.53076	0.14510393422251125
G000716215	0.196768	0.53203	0.15502762217993157
G000968255	0.16956	0.58864	0.1312793301861074
